ticker,date,open,high,low,close
MKLY,2025-10-02,9.9,9.9611,9.85,9.85
MKLY,2025-10-03,9.87,9.89,9.85,9.889
MKLY,2025-10-06,9.8779,9.9,9.8779,9.88
MKLY,2025-10-07,9.89,9.895,9.88,9.885
MKLY,2025-10-08,9.89,9.92,9.89,9.9
MKLY,2025-10-09,9.89,9.91,9.89,9.89
MKLY,2025-10-10,9.895,9.9,9.895,9.9
MKLY,2025-10-13,9.9,9.91,9.9,9.91
MKLY,2025-10-14,9.91,9.93,9.91,9.93
MKLY,2025-10-15,9.93,9.94,9.91,9.9399
MKLY,2025-10-16,9.93,9.95,9.93,9.93
MKLY,2025-10-17,9.93,9.93,9.93,9.93
MKLY,2025-10-21,9.94,9.97,9.94,9.97
MKLY,2025-10-22,9.94,9.94,9.94,9.94
MKLY,2025-10-23,9.95,9.95,9.95,9.95
MKLY,2025-10-24,9.98,9.98,9.94,9.95
MKLY,2025-10-27,9.956,9.956,9.91,9.93
MKLY,2025-10-28,9.94,9.96,9.94,9.96
MKLY,2025-10-29,9.94,9.96,9.94,9.96
MKLY,2025-10-30,9.96,9.96,9.96,9.96
MKLY,2025-10-31,9.94,9.94,9.94,9.94
MKLY,2025-11-03,9.95,9.95,9.95,9.95
MKLY,2025-11-04,9.96,9.97,9.96,9.97
MKLY,2025-11-05,10.05,10.05,9.97,9.97
MKLY,2025-11-06,9.96,9.96,9.96,9.96
MKLY,2025-11-07,9.96,9.99,9.955,9.96
MKLY,2025-11-10,9.96,9.96,9.96,9.96
MKLY,2025-11-11,9.97,9.97,9.96,9.96
MKLY,2025-11-13,9.9698,9.97,9.9635,9.97
MKLY,2025-11-14,9.97,10.0,9.96,9.98
MKLY,2025-11-17,9.99,10.0,9.98,9.98
MKLY,2025-11-18,9.96,9.96,9.96,9.96
MKLY,2025-11-19,9.97,9.97,9.96,9.96
MKLY,2025-11-20,9.97,9.97,9.97,9.97
MKLY,2025-11-21,9.99,9.99,9.97,9.97
MKLY,2025-11-24,9.99,9.99,9.99,9.99
MKLY,2025-11-25,9.99,9.99,9.96,9.97
MKLY,2025-11-26,9.96,9.97,9.96,9.97
MKLY,2025-11-28,9.97,9.97,9.97,9.97
MKLY,2025-12-01,9.97,9.97,9.97,9.97
MKLY,2025-12-02,9.97,9.97,9.966,9.97
MKLY,2025-12-04,9.96,9.97,9.96,9.96
MKLY,2025-12-05,9.96,9.9646,9.96,9.9646
MKLY,2025-12-08,9.96,9.96,9.96,9.96
MKLY,2025-12-10,9.97,9.97,9.95,9.97
MKLY,2025-12-11,9.97,9.97,9.96,9.97
MKLY,2025-12-12,9.97,9.97,9.97,9.97
MKLY,2025-12-15,9.97,9.98,9.97,9.98
MKLY,2025-12-16,9.98,9.98,9.97,9.97
MKLY,2025-12-17,9.98,9.98,9.98,9.98
MKLY,2025-12-22,9.98,9.98,9.96,9.97
MKLY,2025-12-23,9.98,9.98,9.98,9.98
MKLY,2025-12-24,9.96,9.97,9.96,9.97
MKLY,2025-12-26,9.98,9.98,9.98,9.98
MKLY,2025-12-29,9.9775,9.98,9.97,9.97
MKLY,2025-12-30,9.98,9.98,9.95,9.98
MKLY,2025-12-31,9.97,9.97,9.97,9.97
MKLY,2026-01-05,9.97,9.97,9.97,9.97
MKLY,2026-01-07,9.961,9.99,9.95,9.99
MKLY,2026-01-08,9.96,9.98,9.96,9.98
MKLY,2026-01-09,9.98,9.99,9.98,9.99
MKLY,2026-01-13,10.0,10.01,10.0,10.01
MKLY,2026-01-14,10.01,10.01,10.0,10.0
MKLY,2026-01-15,10.0,10.01,10.0,10.01
MKLY,2026-01-16,10.01,10.0111,10.01,10.0111
MKLY,2026-01-21,10.015,10.02,10.0,10.02
MKLY,2026-01-26,10.02,10.03,10.02,10.03
MKLY,2026-01-27,10.02,10.03,10.02,10.03
MKLY,2026-01-28,10.025,10.05,10.02,10.03
MKLY,2026-01-29,10.03,10.05,10.03,10.035
MKLY,2026-01-30,10.03,10.06,10.03,10.06
MKLY,2026-02-02,10.05,10.05,10.03,10.03
