ticker,date,open,high,low,close
GSRF,2025-10-20,10.2,10.2,10.09,10.09
GSRF,2025-10-21,10.05,10.09,10.03,10.05
GSRF,2025-10-22,10.055,10.0599,10.04,10.05
GSRF,2025-10-23,10.05,10.05,10.04,10.04
GSRF,2025-10-24,10.05,10.06,10.05,10.055
GSRF,2025-10-27,10.05,10.05,10.045,10.045
GSRF,2025-10-28,10.04,10.05,10.01,10.05
GSRF,2025-10-29,10.04,10.055,10.02,10.045
GSRF,2025-10-30,10.03,10.06,10.03,10.055
GSRF,2025-10-31,10.055,10.07,10.055,10.06
GSRF,2025-11-03,10.06,10.08,10.06,10.065
GSRF,2025-11-04,10.06,10.06,10.04,10.06
GSRF,2025-11-05,10.06,10.07,10.055,10.06
GSRF,2025-11-06,10.065,10.07,10.065,10.065
GSRF,2025-11-07,10.06,10.07,10.06,10.07
GSRF,2025-11-10,10.04,10.075,10.04,10.07
GSRF,2025-11-11,10.0765,10.08,10.0765,10.08
GSRF,2025-11-12,10.09,10.09,10.075,10.08
GSRF,2025-11-13,10.0701,10.09,10.07,10.07
GSRF,2025-11-14,10.07,10.07,10.065,10.07
GSRF,2025-11-17,10.065,10.065,10.04,10.04
GSRF,2025-11-18,10.04,10.05,10.04,10.05
GSRF,2025-11-19,10.04,10.04,10.03,10.03
GSRF,2025-11-20,10.04,10.04,10.02,10.02
GSRF,2025-11-24,10.02,10.03,10.01,10.01
GSRF,2025-11-25,10.01,10.02,10.01,10.02
GSRF,2025-11-26,10.01,10.01,10.01,10.01
GSRF,2025-11-28,10.0,10.0,10.0,10.0
GSRF,2025-12-01,10.02,10.0201,9.99,9.99
GSRF,2025-12-02,10.01,10.0101,10.0,10.0
GSRF,2025-12-03,10.02,10.02,10.0,10.0
GSRF,2025-12-04,10.01,10.01,9.995,9.995
GSRF,2025-12-05,10.0,10.0,9.995,9.995
GSRF,2025-12-08,9.99,10.0,9.99,9.99
GSRF,2025-12-09,9.99,9.995,9.99,9.995
GSRF,2025-12-10,9.99,9.995,9.99,9.99
GSRF,2025-12-11,9.995,9.995,9.96,9.97
GSRF,2025-12-12,9.98,9.98,9.98,9.98
GSRF,2025-12-15,9.98,9.99,9.96,9.96
GSRF,2025-12-16,9.97,9.97,9.965,9.965
GSRF,2025-12-17,9.97,9.97,9.97,9.97
GSRF,2025-12-18,9.96,9.97,9.96,9.97
GSRF,2025-12-19,9.98,9.98,9.98,9.98
GSRF,2025-12-22,9.98,9.98,9.98,9.98
GSRF,2025-12-23,9.975,9.98,9.97,9.97
GSRF,2025-12-24,9.98,9.98,9.98,9.98
GSRF,2025-12-29,9.99,9.99,9.99,9.99
GSRF,2025-12-30,10.0,10.0,10.0,10.0
GSRF,2025-12-31,9.98,9.99,9.98,9.99
GSRF,2026-01-02,9.98,9.98,9.98,9.98
GSRF,2026-01-05,9.99,9.99,9.96,9.99
GSRF,2026-01-06,9.99,10.0,9.98,10.0
GSRF,2026-01-08,9.981,9.9833,9.981,9.9833
GSRF,2026-01-13,10.0,10.0296,10.0,10.01
GSRF,2026-01-14,10.015,10.02,10.015,10.02
GSRF,2026-01-15,10.01,10.02,10.0,10.02
GSRF,2026-01-16,10.02,10.02,10.02,10.02
GSRF,2026-01-20,10.0,10.01,10.0,10.01
GSRF,2026-01-21,10.05,10.05,10.01,10.01
GSRF,2026-01-22,10.01,10.04,10.01,10.04
GSRF,2026-01-23,10.04,10.04,10.04,10.04
GSRF,2026-01-26,10.03,10.04,10.03,10.04
GSRF,2026-01-28,10.03,10.03,10.03,10.03
GSRF,2026-01-29,10.02,10.02,10.02,10.02
GSRF,2026-01-30,10.0224,10.03,10.01,10.02
GSRF,2026-02-02,10.02,10.03,10.02,10.03
