ticker,date,open,high,low,close
BRR,2025-07-31,10.3,10.39,10.2706,10.35
BRR,2025-08-01,10.35,10.355,10.285,10.3
BRR,2025-08-04,10.31,10.42,10.29,10.36
BRR,2025-08-05,10.34,10.42,10.26,10.35
BRR,2025-08-06,10.35,10.35,10.26,10.34
BRR,2025-08-07,10.34,10.35,10.27,10.3
BRR,2025-08-08,10.28,10.34,10.11,10.18
BRR,2025-08-11,10.22,10.28,10.17,10.21
BRR,2025-08-12,10.23,10.2491,10.15,10.18
BRR,2025-08-13,10.18,10.24,10.16,10.2
BRR,2025-08-14,10.17,10.213,10.12,10.13
BRR,2025-08-15,10.12,10.19,10.05,10.07
BRR,2025-08-18,10.1,10.13,10.07,10.1
BRR,2025-08-19,10.1,10.13,10.08,10.1
BRR,2025-08-20,10.09,10.17,10.09,10.15
BRR,2025-08-21,10.13,10.17,10.13,10.14
BRR,2025-08-22,10.14,10.235,10.13,10.2
BRR,2025-08-25,10.17,10.21,10.17,10.19
BRR,2025-08-26,10.19,10.195,10.13,10.145
BRR,2025-08-27,10.15,10.15,10.13,10.14
BRR,2025-08-28,10.16,10.166,10.14,10.14
BRR,2025-08-29,10.15,10.17,10.1,10.14
BRR,2025-09-02,10.13,10.17,10.13,10.16
BRR,2025-09-03,10.17,10.19,10.13,10.16
BRR,2025-09-04,10.16,10.16,10.1,10.12
BRR,2025-09-05,10.125,10.1554,10.1,10.14
BRR,2025-09-08,10.14,10.14,10.11,10.12
BRR,2025-09-09,10.15,10.15,10.14,10.14
BRR,2025-09-10,10.1419,10.17,10.12,10.14
BRR,2025-09-11,10.16,10.1603,10.14,10.15
BRR,2025-09-12,10.14,10.19,10.12,10.18
BRR,2025-09-15,10.18,10.18,10.15,10.15
BRR,2025-09-16,10.15,10.2,10.11,10.185
BRR,2025-09-17,10.17,10.17,10.12,10.14
BRR,2025-09-18,10.13,10.17,10.13,10.14
BRR,2025-09-19,10.13,10.19,10.1,10.13
BRR,2025-09-22,10.14,10.18,10.09,10.14
BRR,2025-09-23,10.1301,10.1549,10.12,10.13
BRR,2025-09-24,10.13,10.16,10.13,10.13
BRR,2025-09-25,10.13,10.13,10.1,10.12
BRR,2025-09-26,10.125,10.13,10.1,10.11
BRR,2025-09-29,10.12,10.14,10.09,10.12
BRR,2025-09-30,10.1,10.1332,10.08,10.13
BRR,2025-10-01,10.13,10.14,10.1,10.12
BRR,2025-10-02,10.14,10.16,10.08,10.14
BRR,2025-10-03,10.15,10.16,10.1101,10.14
BRR,2025-10-06,10.11,10.18,10.11,10.16
BRR,2025-10-07,10.16,10.19,10.15,10.18
BRR,2025-10-08,10.15,10.24,10.15,10.18
BRR,2025-10-09,10.18,10.32,10.175,10.27
BRR,2025-10-10,10.26,10.34,10.2452,10.25
BRR,2025-10-13,10.24,10.31,10.24,10.3
BRR,2025-10-14,10.3,10.3,10.24,10.24
BRR,2025-10-15,10.25,10.27,10.211,10.22
BRR,2025-10-16,10.23,10.255,10.22,10.24
BRR,2025-10-17,10.2,10.215,10.19,10.2
BRR,2025-10-20,10.2,10.215,10.18,10.19
BRR,2025-10-21,10.275,10.57,10.24,10.27
BRR,2025-10-22,10.23,10.2416,10.2,10.22
BRR,2025-10-23,10.21,10.23,10.2,10.215
BRR,2025-10-24,10.22,10.2254,10.21,10.22
BRR,2025-10-27,10.22,10.24,10.2,10.22
BRR,2025-10-28,10.23,10.25,10.21,10.23
BRR,2025-10-29,10.22,10.23,10.19,10.215
BRR,2025-10-30,10.21,10.23,10.21,10.215
BRR,2025-10-31,10.21,10.22,10.21,10.21
