ticker,date,open,high,low,close
ADAM,2025-09-04,7.36,7.37,7.245,7.37
ADAM,2025-09-05,7.4,7.485,7.345,7.41
ADAM,2025-09-08,7.41,7.415,7.29,7.315
ADAM,2025-09-09,7.29,7.38,7.281,7.29
ADAM,2025-09-10,7.29,7.34,7.195,7.23
ADAM,2025-09-11,7.25,7.355,7.17,7.24
ADAM,2025-09-12,7.2,7.23,7.13,7.13
ADAM,2025-09-15,7.32,7.38,7.2103,7.38
ADAM,2025-09-16,7.37,7.39,7.225,7.24
ADAM,2025-09-17,7.24,7.47,7.24,7.32
ADAM,2025-09-18,7.26,7.45,7.23,7.41
ADAM,2025-09-19,7.42,7.52,7.34,7.39
ADAM,2025-09-22,7.38,7.415,7.24,7.24
ADAM,2025-09-23,7.25,7.35,7.23,7.31
ADAM,2025-09-24,7.26,7.37,7.23,7.3
ADAM,2025-09-25,6.99,7.07,6.9425,7.07
ADAM,2025-09-26,7.06,7.1,6.97,7.02
ADAM,2025-09-29,7.06,7.07,6.83,6.85
ADAM,2025-09-30,6.83,6.98,6.76,6.98
ADAM,2025-10-01,6.97,7.005,6.87,6.97
ADAM,2025-10-02,6.94,6.98,6.84,6.92
ADAM,2025-10-03,6.94,7.11,6.935,6.98
ADAM,2025-10-06,7.0,7.01,6.775,6.8
ADAM,2025-10-07,6.77,6.86,6.77,6.79
ADAM,2025-10-08,6.82,6.9,6.8,6.9
ADAM,2025-10-09,6.85,6.92,6.81,6.83
ADAM,2025-10-10,6.84,6.92,6.76,6.8
ADAM,2025-10-13,6.81,6.95,6.7638,6.94
ADAM,2025-10-14,6.93,7.01,6.86,7.005
ADAM,2025-10-15,7.02,7.08,6.995,7.02
ADAM,2025-10-16,7.02,7.02,6.78,6.78
ADAM,2025-10-17,6.77,6.88,6.77,6.88
ADAM,2025-10-20,6.91,6.94,6.81,6.93
ADAM,2025-10-21,6.93,6.93,6.815,6.88
ADAM,2025-10-22,6.89,7.0,6.89,6.99
ADAM,2025-10-23,7.01,7.01,6.89,6.91
ADAM,2025-10-24,6.96,7.065,6.935,6.94
ADAM,2025-10-27,6.94,6.98,6.89,6.93
ADAM,2025-10-28,6.91,6.93,6.84,6.85
ADAM,2025-10-29,6.82,7.0,6.735,6.905
ADAM,2025-10-30,6.88,6.89,6.445,6.56
ADAM,2025-10-31,6.6,6.73,6.555,6.66
ADAM,2025-11-03,6.7,6.7,6.55,6.695
ADAM,2025-11-04,6.64,6.81,6.635,6.8
ADAM,2025-11-05,6.82,6.9,6.81,6.9
ADAM,2025-11-06,6.88,6.95,6.82,6.89
ADAM,2025-11-07,6.89,7.0,6.8312,7.0
ADAM,2025-11-10,7.0,7.05,7.0,7.035
