ticker,date,open,high,low,close
TTRX,2025-10-08,10.0,10.0,6.23,7.0
TTRX,2025-10-09,24.715,26.5,8.18,9.2
TTRX,2025-10-10,8.25,8.7999,7.25005,7.45
TTRX,2025-10-13,7.19,7.19,6.07,6.51
TTRX,2025-10-14,6.2,6.3501,5.5,5.94
TTRX,2025-10-15,5.95,5.95,4.8101,5.1
TTRX,2025-10-16,5.03,5.98,4.95,5.64
TTRX,2025-10-17,5.42,5.57,4.98,5.06
TTRX,2025-10-20,5.01,5.19,4.81,4.94
TTRX,2025-10-21,5.1,5.1,4.652,4.74
TTRX,2025-10-22,4.18,4.18,4.11,4.18
TTRX,2025-10-23,4.38,4.95,4.07,4.95
TTRX,2025-10-24,5.15,5.36,4.51,5.08
TTRX,2025-10-27,5.18,5.225,4.8201,4.97
TTRX,2025-10-28,4.99,5.58,4.9518,5.25
TTRX,2025-10-29,5.26,5.39,5.1426,5.295
TTRX,2025-10-30,5.35,5.395,5.0303,5.24
TTRX,2025-10-31,5.08,5.1986,4.78,4.85
TTRX,2025-11-03,4.78,4.8435,4.4,4.43
TTRX,2025-11-04,4.35,4.3999,4.012,4.325
TTRX,2025-11-05,4.33,4.4,4.2,4.32
TTRX,2025-11-06,4.47,4.48,3.83,4.25
TTRX,2025-11-07,4.03,4.22,3.92,4.02
TTRX,2025-11-10,3.96,4.2623,3.92,4.13
TTRX,2025-11-11,4.1,4.2,3.65,3.88
TTRX,2025-11-12,4.0,4.4,3.9301,4.4
TTRX,2025-11-13,4.25,4.32,3.88,3.99
TTRX,2025-11-14,3.96,4.3,3.8571,3.98
TTRX,2025-11-17,3.98,3.98,3.4,3.49
TTRX,2025-11-18,3.5,3.51,2.8101,2.9781
TTRX,2025-11-19,3.0,3.09,2.65,2.87
TTRX,2025-11-20,2.84,2.91,2.5701,2.71
TTRX,2025-11-21,2.71,3.36,2.6001,3.27
TTRX,2025-11-24,3.24,3.56,3.05,3.5
TTRX,2025-11-25,3.55,3.55,3.2201,3.3
TTRX,2025-11-26,3.45,3.49,3.3412,3.46
TTRX,2025-11-28,3.49,3.52,3.41,3.52
TTRX,2025-12-01,3.5,3.68,3.4437,3.5
TTRX,2025-12-02,3.47,3.62,3.45,3.53
TTRX,2025-12-03,3.6,4.2085,3.59,4.06
TTRX,2025-12-04,3.85,4.35,3.84,4.25
TTRX,2025-12-05,4.23,4.4,4.21,4.31
TTRX,2025-12-08,4.37,4.37,3.27,3.37
TTRX,2025-12-09,3.39,3.44,3.23,3.36
TTRX,2025-12-10,3.38,3.4412,2.94,3.05
TTRX,2025-12-11,3.08,3.41,2.96,3.21
TTRX,2025-12-12,3.3,3.555,3.11,3.41
TTRX,2025-12-15,3.4,3.4,3.06,3.06
TTRX,2025-12-16,3.1001,3.25,3.1001,3.12
TTRX,2025-12-17,3.15,3.15,2.96,2.96
TTRX,2025-12-18,3.01,3.235,2.97,3.0
TTRX,2025-12-19,3.0,3.1114,2.92,3.03
TTRX,2025-12-22,3.0,3.12,2.99,3.02
TTRX,2025-12-23,3.0,3.0699,2.98,3.0
TTRX,2025-12-24,3.03,3.07,2.8801,2.97
TTRX,2025-12-26,3.02,3.02,2.7,2.74
TTRX,2025-12-29,2.8,3.1676,2.8,3.14
TTRX,2025-12-30,3.19,3.93,3.095,3.71
TTRX,2025-12-31,3.71,4.4,3.678,3.94
TTRX,2026-01-02,4.19,4.79,3.9,4.69
TTRX,2026-01-05,4.77,5.22,4.47,4.73
TTRX,2026-01-06,4.8,4.99,4.48,4.49
TTRX,2026-01-07,4.45,4.66,4.3301,4.57
TTRX,2026-01-08,4.6,4.79,4.47,4.65
TTRX,2026-01-09,4.55,4.8499,4.55,4.62
TTRX,2026-01-12,4.23,4.23,4.14,4.23
TTRX,2026-01-13,4.4389,5.0,4.2401,4.88
TTRX,2026-01-14,4.88,5.51,4.7,4.74
TTRX,2026-01-15,4.8,4.89,4.56,4.82
TTRX,2026-01-16,4.85,4.85,4.5501,4.56
TTRX,2026-01-20,4.56,4.9,4.52,4.75
TTRX,2026-01-21,4.75,4.82,4.39,4.64
TTRX,2026-01-22,4.62,4.78,4.5001,4.78
TTRX,2026-01-23,4.71,5.0,4.71,4.86
TTRX,2026-01-26,4.82,5.0,4.625,4.96
TTRX,2026-01-27,4.93,4.93,4.8001,4.93
TTRX,2026-01-28,4.95,4.95,4.455,4.55
TTRX,2026-01-29,4.6,4.6425,4.24,4.36
TTRX,2026-01-30,4.3,4.3,3.96,4.18
TTRX,2026-02-02,4.05,4.2999,4.0,4.18
