ticker,date,open,high,low,close
AEC,2025-09-18,7.0,7.12,6.0,6.92
AEC,2025-09-19,7.0,7.15,6.6701,7.09
AEC,2025-09-22,7.3,8.638,7.3,8.26
AEC,2025-09-23,8.59,9.25,7.92,7.99
AEC,2025-09-24,8.0,8.3989,7.98,8.03
AEC,2025-09-25,8.03,8.51,7.635,8.46
AEC,2025-09-26,8.94,9.1299,8.55,8.88
AEC,2025-09-29,8.9,10.98,8.86,9.68
AEC,2025-09-30,9.605,10.24,9.5058,10.1075
AEC,2025-10-01,10.13,10.1875,9.2001,9.79
AEC,2025-10-02,9.84,10.175,9.45,10.04
AEC,2025-10-03,9.9,10.95,9.35,9.62
AEC,2025-10-06,9.5,9.8921,8.33,8.59
AEC,2025-10-07,8.44,9.6673,8.31,9.39
AEC,2025-10-08,9.74,9.83,8.5,8.99
AEC,2025-10-09,8.8,9.3,8.51,9.02
AEC,2025-10-10,10.32,11.43,9.8,10.29
AEC,2025-10-13,11.1,12.49,9.62,10.88
AEC,2025-10-14,11.0,11.37,10.33,10.8
AEC,2025-10-15,11.25,11.74,10.31,10.84
AEC,2025-10-16,10.94,10.9673,9.585,9.59
AEC,2025-10-17,8.87,9.4625,7.416,7.97
AEC,2025-10-20,8.0,8.31,7.7301,7.96
AEC,2025-10-21,8.11,8.15,7.25,7.32
AEC,2025-10-22,7.22,7.4763,6.96,7.22
AEC,2025-10-23,7.19,7.7399,7.13,7.39
AEC,2025-10-24,7.39,7.985,7.2501,7.65
AEC,2025-10-27,7.39,7.5785,7.0,7.48
AEC,2025-10-28,7.61,8.89,7.6,8.72
AEC,2025-10-29,8.61,8.75,7.89,8.06
AEC,2025-10-30,8.04,8.6,7.9,8.48
AEC,2025-10-31,8.8,8.8,8.065,8.305
AEC,2025-11-03,8.09,8.41,7.88,8.08
AEC,2025-11-04,7.9,7.9,7.15,7.45
AEC,2025-11-05,7.35,7.6199,7.01,7.28
AEC,2025-11-06,7.09,7.18,6.51,6.69
AEC,2025-11-07,6.77,6.88,6.08,6.76
AEC,2025-11-10,7.0,7.45,6.5796,7.29
AEC,2025-11-11,7.11,7.255,6.66,6.79
AEC,2025-11-12,7.0,7.27,6.6409,7.015
AEC,2025-11-13,6.94,7.3,6.51,6.655
AEC,2025-11-14,6.31,6.8899,6.27,6.28
AEC,2025-11-17,6.41,6.79,6.06,6.155
AEC,2025-11-18,6.325,6.45,6.0,6.21
AEC,2025-11-19,6.425,6.79,6.29,6.54
AEC,2025-11-20,6.84,7.24,5.805,5.96
AEC,2025-11-21,5.91,6.0521,5.5,5.81
AEC,2025-11-24,5.92,6.47,5.8,6.47
AEC,2025-11-25,6.31,6.46,5.98,6.295
AEC,2025-11-26,6.34,6.7,6.1088,6.59
AEC,2025-11-28,6.77,6.8,6.3307,6.53
AEC,2025-12-01,6.43,6.6367,6.24,6.29
AEC,2025-12-02,6.31,6.605,6.18,6.5
AEC,2025-12-03,6.47,6.64,6.23,6.26
AEC,2025-12-04,6.4,7.25,6.15,7.03
AEC,2025-12-05,7.22,7.22,6.46,6.47
AEC,2025-12-08,6.7236,6.7236,5.79,6.01
AEC,2025-12-09,6.05,6.093,5.78,5.93
AEC,2025-12-10,5.97,6.05,5.76,5.865
AEC,2025-12-11,5.8,6.06,5.8,6.05
AEC,2025-12-12,6.05,6.21,5.52,5.63
AEC,2025-12-15,5.6784,5.7115,5.1201,5.17
AEC,2025-12-16,5.08,5.2896,4.945,5.01
AEC,2025-12-17,5.1,5.24,4.83,4.84
AEC,2025-12-18,4.85,4.965,4.67,4.77
AEC,2025-12-19,4.75,5.08,4.71,4.89
AEC,2025-12-22,4.88,4.88,4.42,4.47
AEC,2025-12-23,4.59,4.7497,4.5,4.53
AEC,2025-12-24,4.66,5.25,4.65,5.04
AEC,2025-12-26,5.17,5.31,4.96,5.26
AEC,2025-12-29,5.25,5.29,4.88,5.25
AEC,2025-12-30,5.3,5.44,5.01,5.01
AEC,2025-12-31,5.01,5.22,4.98,5.13
AEC,2026-01-02,5.3,5.97,5.25,5.9
AEC,2026-01-05,6.01,6.29,5.9,6.05
AEC,2026-01-06,6.3,6.3,5.95,6.13
AEC,2026-01-07,6.22,6.49,6.01,6.4
AEC,2026-01-08,6.43,6.43,5.9,5.97
AEC,2026-01-09,6.18,6.58,6.015,6.21
AEC,2026-01-12,6.32,6.7,6.22,6.495
AEC,2026-01-13,6.55,6.55,6.13,6.4
AEC,2026-01-14,6.4,6.69,6.15,6.46
AEC,2026-01-15,6.6,7.5,6.22,7.43
AEC,2026-01-16,7.53,7.85,7.195,7.24
AEC,2026-01-20,7.5,8.3,7.15,7.97
AEC,2026-01-21,8.05,8.45,7.71,7.95
AEC,2026-01-22,8.1,8.62,8.02,8.43
AEC,2026-01-23,8.65,8.93,8.21,8.75
AEC,2026-01-26,9.11,9.23,8.26,8.53
AEC,2026-01-27,8.45,9.31,8.0,9.21
AEC,2026-01-28,9.6,10.24,9.39,9.56
AEC,2026-01-29,9.56,9.56,8.3,9.28
AEC,2026-01-30,8.71,9.47,8.21,8.34
AEC,2026-02-02,8.11,8.49,7.0,7.17
