ticker,date,open,high,low,close
PTRN,2025-09-19,13.5,16.0,12.76,15.6
PTRN,2025-09-22,15.13,15.25,13.86,14.0
PTRN,2025-09-23,14.16,14.26,13.315,14.01
PTRN,2025-09-24,13.75,14.0866,13.15,13.46
PTRN,2025-09-25,13.35,13.36,12.0,12.83
PTRN,2025-09-26,12.75,14.0,12.61,13.96
PTRN,2025-09-29,13.96,14.16,13.55,13.9
PTRN,2025-09-30,13.75,14.01,13.55,13.7
PTRN,2025-10-01,13.57,14.23,13.5,13.96
PTRN,2025-10-02,14.0,14.75,13.6,14.39
PTRN,2025-10-03,14.22,14.325,13.8,14.24
PTRN,2025-10-06,14.1,14.8025,13.9,14.53
PTRN,2025-10-07,14.53,14.6,13.8,13.95
PTRN,2025-10-08,14.17,14.17,13.75,14.01
PTRN,2025-10-09,13.99,14.0711,13.62,14.02
PTRN,2025-10-10,14.04,14.17,13.31,13.32
PTRN,2025-10-13,13.48,14.11,13.4294,13.985
PTRN,2025-10-14,13.7,14.6,13.7,14.01
PTRN,2025-10-15,14.42,14.5,13.78,13.99
PTRN,2025-10-16,14.05,14.0852,13.36,13.81
PTRN,2025-10-17,13.64,13.9,13.25,13.37
PTRN,2025-10-20,13.5,13.8,13.41,13.68
PTRN,2025-10-21,13.7,14.1,13.41,13.72
PTRN,2025-10-22,13.7,14.2,13.58,13.99
PTRN,2025-10-23,14.0,16.55,13.99,16.42
PTRN,2025-10-24,16.59,18.1934,16.565,18.07
PTRN,2025-10-27,18.4,18.92,16.812,17.26
PTRN,2025-10-28,17.0,17.8,16.73,16.86
PTRN,2025-10-29,16.8,18.2293,16.7872,16.92
PTRN,2025-10-30,16.8,17.3137,16.49,16.5
PTRN,2025-10-31,16.59,17.84,16.525,17.64
PTRN,2025-11-03,17.54,17.89,16.77,17.3
PTRN,2025-11-04,16.76,17.57,16.4,16.81
PTRN,2025-11-05,16.79,18.2069,16.4,18.04
PTRN,2025-11-06,18.38,20.1,17.6701,18.19
PTRN,2025-11-07,17.75,18.0,15.8101,17.09
PTRN,2025-11-10,17.25,17.86,16.3,17.71
PTRN,2025-11-11,17.5,18.59,17.14,18.4
PTRN,2025-11-12,18.4,18.4,17.54,18.19
PTRN,2025-11-13,17.96,18.19,17.3236,17.76
PTRN,2025-11-14,17.2,17.87,17.0,17.46
PTRN,2025-11-17,17.03,17.62,15.5,15.7
PTRN,2025-11-18,15.5,16.57,15.3,15.99
PTRN,2025-11-19,16.01,16.43,14.825,14.95
PTRN,2025-11-20,15.14,15.74,14.98,15.28
PTRN,2025-11-21,15.24,15.45,14.05,14.97
PTRN,2025-11-24,15.0,15.19,14.26,14.39
PTRN,2025-11-25,14.5,15.01,14.4,14.78
PTRN,2025-11-26,14.94,15.2997,14.56,14.7298
PTRN,2025-11-28,14.75,14.97,14.13,14.54
PTRN,2025-12-01,14.42,15.055,14.16,14.95
PTRN,2025-12-02,15.05,15.29,14.38,14.88
PTRN,2025-12-03,14.91,15.46,14.63,15.34
PTRN,2025-12-04,15.25,15.48,12.965,13.35
PTRN,2025-12-05,13.37,13.92,13.01,13.31
PTRN,2025-12-08,13.31,13.4366,12.545,12.8
PTRN,2025-12-09,12.77,12.86,12.44,12.63
PTRN,2025-12-10,12.52,12.9,12.35,12.73
PTRN,2025-12-11,12.54,13.09,12.4601,12.75
PTRN,2025-12-12,12.79,12.98,12.495,12.72
PTRN,2025-12-15,12.64,12.7009,11.74,11.86
PTRN,2025-12-16,11.75,12.075,11.64,11.87
PTRN,2025-12-17,11.84,11.92,11.4,11.53
PTRN,2025-12-18,11.62,11.895,11.49,11.53
PTRN,2025-12-19,11.7,12.33,11.45,11.92
PTRN,2025-12-22,12.28,12.4364,11.825,11.89
PTRN,2025-12-23,11.92,12.0904,11.3676,11.64
PTRN,2025-12-24,11.65,11.65,11.3,11.48
PTRN,2025-12-26,11.51,11.85,11.35,11.84
PTRN,2025-12-29,11.71,12.39,11.51,12.38
PTRN,2025-12-30,12.31,12.565,11.705,11.84
PTRN,2025-12-31,11.81,11.95,11.48,11.54
PTRN,2026-01-02,11.695,11.7928,11.21,11.5
PTRN,2026-01-05,11.5,12.99,11.4101,12.74
PTRN,2026-01-06,12.62,13.61,12.62,13.21
PTRN,2026-01-07,13.2498,14.39,13.24,13.96
PTRN,2026-01-08,13.85,14.26,13.32,14.23
PTRN,2026-01-09,14.19,15.0,14.0243,14.53
PTRN,2026-01-12,14.47,14.5,13.2,13.41
PTRN,2026-01-13,13.4,13.78,13.1,13.49
PTRN,2026-01-14,13.36,13.6384,12.925,13.025
PTRN,2026-01-15,13.17,14.23,12.91,14.2
PTRN,2026-01-16,14.22,14.22,13.61,13.88
PTRN,2026-01-20,13.46,13.85,13.2801,13.46
PTRN,2026-01-21,13.52,13.8472,12.91,13.35
PTRN,2026-01-22,13.49,15.04,13.1582,14.42
PTRN,2026-01-23,14.33,14.5,13.89,14.27
PTRN,2026-01-26,14.19,16.3,14.01,16.06
PTRN,2026-01-27,16.0,16.51,15.6,15.77
PTRN,2026-01-28,15.87,16.28,15.61,15.62
PTRN,2026-01-29,15.47,16.2,15.32,15.97
PTRN,2026-01-30,15.76,15.86,13.76,13.82
PTRN,2026-02-02,13.72,14.33,13.355,13.9
