ticker,date,open,high,low,close
STRZ,2025-05-12,11.48,12.975,11.48,12.51
STRZ,2025-05-13,12.5,13.0,11.355,11.52
STRZ,2025-05-14,11.495,12.44,11.47,12.38
STRZ,2025-05-15,12.57,12.87,12.0403,12.22
STRZ,2025-05-16,12.3,13.61,12.0444,13.01
STRZ,2025-05-19,13.54,15.07,12.74,14.99
STRZ,2025-05-20,15.4663,16.1042,14.81,15.95
STRZ,2025-05-21,16.34,17.11,15.0001,16.64
STRZ,2025-05-22,17.14,17.715,16.32,16.81
STRZ,2025-05-23,17.22,17.89,16.695,16.86
STRZ,2025-05-27,17.28,17.87,16.19,16.98
STRZ,2025-05-28,17.11,17.32,15.355,15.66
STRZ,2025-05-29,16.37,17.36,15.86,16.51
STRZ,2025-05-30,17.5,21.0,16.9942,20.89
STRZ,2025-06-02,21.25,22.98,18.0256,19.37
STRZ,2025-06-03,19.17,19.899,17.2,17.8
STRZ,2025-06-04,18.01,18.4682,16.62,17.03
STRZ,2025-06-05,17.43,17.789,15.74,16.5
STRZ,2025-06-06,16.56,18.21,16.075,18.05
STRZ,2025-06-09,17.43,18.155,16.51,16.8
STRZ,2025-06-10,17.27,19.43,17.095,18.96
STRZ,2025-06-11,18.975,19.09,17.13,17.24
STRZ,2025-06-12,17.33,17.85,16.69,17.11
STRZ,2025-06-13,16.7,18.46,16.35,17.14
STRZ,2025-06-16,17.13,17.65,16.7,17.62
STRZ,2025-06-17,17.58,17.7,16.58,16.84
STRZ,2025-06-18,17.2,17.32,15.4,15.92
STRZ,2025-06-20,15.9,16.42,15.27,15.48
STRZ,2025-06-23,15.54,16.41,15.05,16.41
STRZ,2025-06-24,16.64,16.99,15.58,15.81
STRZ,2025-06-25,15.9,17.12,15.4625,16.06
STRZ,2025-06-26,16.19,16.65,15.7419,16.65
STRZ,2025-06-27,16.51,16.835,16.14,16.19
STRZ,2025-06-30,16.15,16.57,15.8,16.07
STRZ,2025-07-01,15.99,16.81,15.99,16.17
STRZ,2025-07-02,16.1,16.6295,15.75,15.82
STRZ,2025-07-03,15.76,16.2795,15.38,15.56
STRZ,2025-07-07,15.8,15.985,15.0055,15.41
STRZ,2025-07-08,15.38,15.925,15.3,15.41
STRZ,2025-07-09,15.85,16.45,15.25,16.44
STRZ,2025-07-10,16.6,17.115,15.84,17.08
STRZ,2025-07-11,16.69,16.69,16.34,16.69
STRZ,2025-07-14,16.44,17.12,15.93,17.1
STRZ,2025-07-15,17.04,17.51,16.39,16.92
STRZ,2025-07-16,16.85,17.585,16.1,16.17
STRZ,2025-07-17,16.07,16.71,15.76,16.0
STRZ,2025-07-18,15.99,16.025,15.16,15.89
STRZ,2025-07-21,15.86,16.935,15.82,16.75
STRZ,2025-07-22,16.64,17.0,16.5,16.86
STRZ,2025-07-23,16.84,16.875,15.01,15.67
STRZ,2025-07-24,15.65,16.46,15.615,15.96
STRZ,2025-07-25,15.78,15.915,15.305,15.41
STRZ,2025-07-28,15.24,15.585,15.13,15.42
STRZ,2025-07-29,15.69,15.69,14.94,14.99
STRZ,2025-07-30,15.0,15.35,14.3352,14.99
STRZ,2025-07-31,14.95,15.01,13.54,14.57
STRZ,2025-08-01,14.26,14.77,13.79,14.28
STRZ,2025-08-04,14.46,14.81,14.13,14.63
STRZ,2025-08-05,14.68,14.83,13.92,14.18
STRZ,2025-08-06,14.12,14.73,13.7085,14.64
STRZ,2025-08-07,14.66,14.7,13.725,14.15
STRZ,2025-08-08,14.12,14.42,13.86,13.94
STRZ,2025-08-11,13.86,14.18,13.51,13.57
STRZ,2025-08-12,13.55,14.45,13.515,14.43
STRZ,2025-08-13,14.36,15.64,14.2,15.31
STRZ,2025-08-14,15.04,15.53,14.725,15.36
STRZ,2025-08-15,14.36,14.36,11.8,12.24
STRZ,2025-08-18,12.24,12.64,11.6595,12.57
STRZ,2025-08-19,12.67,13.3652,12.255,13.065
STRZ,2025-08-20,13.3,13.6,12.5,13.5
STRZ,2025-08-21,13.28,13.52,12.3,13.17
STRZ,2025-08-22,13.4,13.81,13.23,13.53
STRZ,2025-08-25,13.46,13.98,13.28,13.67
STRZ,2025-08-26,13.64,13.77,12.96,13.3
STRZ,2025-08-27,13.22,13.75,13.18,13.56
STRZ,2025-08-28,13.75,13.75,13.25,13.31
STRZ,2025-08-29,13.39,13.51,12.66,12.77
STRZ,2025-09-02,12.82,12.93,12.4621,12.8
STRZ,2025-09-03,12.5,13.25,12.36,12.97
STRZ,2025-09-04,13.06,13.24,12.62,12.95
STRZ,2025-09-05,12.73,12.97,12.551,12.6
STRZ,2025-09-08,12.73,12.91,12.44,12.86
STRZ,2025-09-09,12.99,12.99,12.2,12.37
STRZ,2025-09-10,12.21,12.26,11.68,11.97
STRZ,2025-09-11,11.97,13.445,11.97,13.4
STRZ,2025-09-12,13.46,13.98,13.42,13.92
STRZ,2025-09-15,14.0,15.047,13.85,14.95
STRZ,2025-09-16,15.0,15.09,13.81,14.17
STRZ,2025-09-17,14.27,14.685,14.1,14.25
STRZ,2025-09-18,14.38,14.38,13.615,13.98
STRZ,2025-09-19,13.96,14.63,13.73,14.41
STRZ,2025-09-22,14.42,14.8,14.37,14.67
STRZ,2025-09-23,14.69,14.885,14.33,14.64
STRZ,2025-09-24,14.45,15.0,14.1605,14.81
STRZ,2025-09-25,14.74,15.38,14.0545,14.12
STRZ,2025-09-26,14.17,14.73,14.03,14.44
STRZ,2025-09-29,14.57,14.7516,14.32,14.71
STRZ,2025-09-30,14.7,14.835,14.0817,14.73
STRZ,2025-10-01,14.65,15.09,14.425,14.58
STRZ,2025-10-02,14.67,14.99,14.34,14.65
STRZ,2025-10-03,14.62,14.935,14.06,14.49
STRZ,2025-10-06,14.48,14.6275,14.01,14.08
STRZ,2025-10-07,14.07,14.07,13.2,13.4
STRZ,2025-10-08,13.4,13.425,12.95,13.06
STRZ,2025-10-09,13.0,13.15,12.23,12.92
STRZ,2025-10-10,12.87,12.92,11.95,12.12
STRZ,2025-10-13,12.21,12.36,11.9,11.94
STRZ,2025-10-14,12.07,12.36,11.63,11.8
STRZ,2025-10-15,11.99,12.33,11.55,11.73
STRZ,2025-10-16,11.74,11.75,11.04,11.52
STRZ,2025-10-17,11.45,11.6,11.04,11.12
STRZ,2025-10-20,11.26,11.8828,11.01,11.05
STRZ,2025-10-21,11.0,11.25,10.85,11.08
STRZ,2025-10-22,11.0,11.1102,11.0,11.05
STRZ,2025-10-23,11.1,11.685,10.935,11.67
STRZ,2025-10-24,11.79,11.8,11.445,11.64
STRZ,2025-10-27,11.64,11.92,11.06,11.33
STRZ,2025-10-28,11.335,11.335,11.0,11.07
STRZ,2025-10-29,11.11,11.11,10.43,10.49
STRZ,2025-10-30,10.53,10.625,10.2,10.61
STRZ,2025-10-31,10.5,10.71,10.22,10.49
STRZ,2025-11-03,10.52,10.77,10.22,10.763
STRZ,2025-11-04,10.62,10.8,10.38,10.79
STRZ,2025-11-05,10.86,10.96,10.61,10.7
STRZ,2025-11-06,10.64,10.65,9.97,10.29
STRZ,2025-11-07,10.21,10.48,10.02,10.31
STRZ,2025-11-10,10.33,10.66,10.27,10.56
STRZ,2025-11-11,10.58,11.0,10.39,10.77
STRZ,2025-11-12,10.77,10.9,10.36,10.86
STRZ,2025-11-13,10.86,10.95,10.58,10.79
STRZ,2025-11-14,10.37,10.79,9.61,10.13
STRZ,2025-11-17,10.04,10.52,9.695,10.39
STRZ,2025-11-18,10.225,11.6,10.225,11.55
STRZ,2025-11-19,11.6,12.18,11.005,11.07
STRZ,2025-11-20,11.19,11.19,10.58,10.86
STRZ,2025-11-21,10.83,11.34,10.58,10.92
STRZ,2025-11-24,10.99,11.07,10.385,10.96
STRZ,2025-11-25,11.06,11.56,11.06,11.16
STRZ,2025-11-26,11.21,11.385,10.9,10.91
STRZ,2025-11-28,10.99,11.07,10.72,10.97
STRZ,2025-12-01,10.92,11.65,10.54,11.305
STRZ,2025-12-02,11.42,11.4901,10.49,10.92
STRZ,2025-12-03,10.88,10.88,10.17,10.23
STRZ,2025-12-04,10.2,10.31,9.9,10.25
STRZ,2025-12-05,10.31,10.685,10.0,10.62
STRZ,2025-12-08,10.67,11.035,10.16,10.69
STRZ,2025-12-09,10.6,10.98,10.46,10.74
STRZ,2025-12-10,10.87,11.95,10.65,11.84
STRZ,2025-12-11,12.0,13.03,11.9843,12.54
STRZ,2025-12-12,12.5,12.7399,11.78,12.12
STRZ,2025-12-15,12.12,12.41,11.34,11.67
STRZ,2025-12-16,12.6,12.6,11.72,11.82
STRZ,2025-12-17,11.91,12.48,11.64,11.71
STRZ,2025-12-18,11.77,12.15,11.655,11.73
STRZ,2025-12-19,11.74,12.065,11.32,11.42
STRZ,2025-12-22,11.42,11.6,10.9201,10.95
STRZ,2025-12-23,10.83,11.52,10.8,11.51
STRZ,2025-12-24,11.51,11.59,11.29,11.59
STRZ,2025-12-26,11.44,11.835,11.41,11.82
STRZ,2025-12-29,11.79,12.135,11.4852,11.86
STRZ,2025-12-30,11.9,12.07,11.535,11.61
STRZ,2025-12-31,11.53,12.175,11.47,11.7
STRZ,2026-01-02,11.26,11.85,11.26,11.61
STRZ,2026-01-05,11.57,12.1,11.27,11.925
STRZ,2026-01-06,11.85,11.9,11.42,11.66
STRZ,2026-01-07,11.485,11.55,11.184,11.55
STRZ,2026-01-08,11.5,11.9,11.3,11.31
STRZ,2026-01-09,11.34,11.77,10.62,10.99
STRZ,2026-01-12,10.86,11.365,10.86,11.25
STRZ,2026-01-13,11.11,11.145,10.88,10.98
STRZ,2026-01-14,11.11,11.32,10.71,11.22
STRZ,2026-01-15,11.18,11.32,10.6917,10.98
STRZ,2026-01-16,10.97,11.355,10.82,11.04
STRZ,2026-01-20,10.87,11.0799,10.44,10.455
STRZ,2026-01-21,10.47,10.905,9.9,10.21
STRZ,2026-01-22,10.25,10.48,9.9106,10.08
