ticker,date,open,high,low,close
BUUU,2025-08-18,4.04,4.5,3.98,4.24
BUUU,2025-08-19,4.13,4.2806,4.13,4.16
BUUU,2025-08-20,3.97,4.39,3.97,4.3
BUUU,2025-08-21,4.3,4.71,4.3,4.65
BUUU,2025-08-22,4.73,5.5499,4.73,5.4
BUUU,2025-08-25,5.54,6.7661,5.415,6.69
BUUU,2025-08-26,6.78,7.4512,6.5,7.38
BUUU,2025-08-27,7.68,7.78,5.6075,5.88
BUUU,2025-08-28,5.82,6.9,5.02,6.6
BUUU,2025-08-29,6.39,7.8,5.95,6.5
BUUU,2025-09-02,6.4,6.8,6.1189,6.69
BUUU,2025-09-03,6.2679,7.4,6.2679,6.96
BUUU,2025-09-04,7.01,7.2354,6.0,6.62
BUUU,2025-09-05,6.16,6.89,5.54,6.56
BUUU,2025-09-08,6.61,6.65,5.3,5.34
BUUU,2025-09-09,5.28,6.98,5.245,6.13
BUUU,2025-09-10,6.74,6.9,6.1,6.66
BUUU,2025-09-11,6.95,6.95,6.0612,6.7
BUUU,2025-09-12,6.6,7.67,6.2,7.04
BUUU,2025-09-15,6.98,9.5,6.855,7.3
BUUU,2025-09-16,7.9,8.97,7.5035,8.14
BUUU,2025-09-17,7.99,8.3,7.2962,7.86
BUUU,2025-09-18,8.0,8.0,7.5,7.6
BUUU,2025-09-19,7.7,8.0803,7.7,7.8
BUUU,2025-09-22,8.05,8.3,7.9,8.03
BUUU,2025-09-23,7.8212,8.22,7.81,8.1545
BUUU,2025-09-24,8.15,8.2,7.85,8.01
BUUU,2025-09-25,8.0303,8.29,8.01,8.29
BUUU,2025-09-26,8.54,8.825,6.6,8.45
BUUU,2025-09-29,8.05,9.1,7.9076,9.08
BUUU,2025-09-30,8.7001,8.7001,8.15,8.15
BUUU,2025-10-01,8.3,8.95,8.3,8.61
BUUU,2025-10-02,8.2,8.9,8.05,8.56
BUUU,2025-10-03,8.29,8.595,8.29,8.5397
BUUU,2025-10-06,8.1696,8.6,8.03,8.5
